title,symbols,direction,strength,source,would_trade,notes
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge,BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in,ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-1],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-1],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-2],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-2],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-3],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-3],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-4],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-4],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-5],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-5],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-6],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-6],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-7],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-7],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-8],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-8],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-9],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-9],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-10],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-10],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-11],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-11],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-12],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-12],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-13],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-13],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-14],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-14],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-15],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-15],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-16],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-16],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-17],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-17],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-18],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-18],ETHUSDT;BTCUSDT,long,1,rule,,
